"","Abundance","Site_number","Family"
"513",0.0441176470588235,"209","Flavobacteriaceae"
"514",0.0441176470588235,"209","Flavobacteriaceae"
"515",0.0441176470588235,"209","Flavobacteriaceae"
"516",0.043859649122807,"166","Rhodobacteraceae"
"517",0.04375,"128","Rhodobacteraceae"
"518",0.0434782608695652,"133","Flavobacteriaceae"
"519",0.0434782608695652,"100","Moraxellaceae"
"520",0.0434782608695652,"100","Pirellulaceae"
"521",0.0434782608695652,"156","Flavobacteriaceae"
"522",0.0434782608695652,"133","Flavobacteriaceae"
"523",0.0431654676258993,"137","Flavobacteriaceae"
"524",0.0431654676258993,"42","Flavobacteriaceae"
"525",0.0431654676258993,"137","Flavobacteriaceae"
"526",0.0427350427350427,"85","Cryomorphaceae"
"527",0.0427350427350427,"170","Flavobacteriaceae"
"528",0.0427350427350427,"85","Rhodobacteraceae"
"529",0.0427350427350427,"85","Flavobacteriaceae"
"530",0.042654028436019,"130","Moraxellaceae"
"531",0.042654028436019,"130","Vibrionaceae"
"532",0.042654028436019,"130","Vibrionaceae"
"533",0.0426356589147287,"55","Rhodobacteraceae"
"534",0.0426356589147287,"55","Flavobacteriaceae"
"535",0.0424710424710425,"157","Flavobacteriaceae"
